,prec_kf_1,prec_kf_2,prec_kf_3,prec_kf_4,prec_kf_5,mean_precision,rec_kf_1,rec_kf_2,rec_kf_3,rec_kf_4,rec_kf_5,mean_recall
0,0.0342,0.03178,0.03257,0.03191,0.03172,0.03244,1.0,1.0,1.0,1.0,1.0,1.0
1,0.1011,0.0943,0.09733,0.09411,0.0935,0.09606,0.97772,0.98602,0.99155,0.98143,0.98199,0.98369
2,0.10111,0.09431,0.09734,0.09411,0.09351,0.09606,0.97772,0.98602,0.99155,0.98143,0.98199,0.98369
3,0.10111,0.09432,0.09735,0.09412,0.09356,0.09607,0.97772,0.98602,0.99155,0.98143,0.98199,0.98369
4,0.10113,0.09436,0.09726,0.09413,0.09364,0.09607,0.97772,0.98602,0.99025,0.98143,0.98199,0.98369
5,0.10115,0.09437,0.0973,0.09419,0.09369,0.09608,0.97772,0.98602,0.99025,0.98143,0.98199,0.98369
6,0.10124,0.09448,0.09731,0.09427,0.09369,0.0961,0.97772,0.98602,0.99025,0.98143,0.98199,0.98343
7,0.10127,0.09448,0.09739,0.09428,0.09382,0.0961,0.97772,0.98602,0.99025,0.98143,0.98199,0.98343
8,0.10128,0.09449,0.09741,0.09429,0.09386,0.09618,0.97772,0.98602,0.99025,0.98143,0.98199,0.98343
9,0.10142,0.09469,0.09742,0.09441,0.09387,0.09618,0.97772,0.98602,0.99025,0.98143,0.98199,0.98343
10,0.10143,0.09469,0.09744,0.09441,0.09388,0.0962,0.97772,0.98602,0.99025,0.98143,0.98199,0.98343
11,0.10144,0.09475,0.09745,0.09442,0.09388,0.0962,0.97772,0.98602,0.99025,0.98143,0.98199,0.98343
12,0.10145,0.09476,0.09745,0.09443,0.12878,0.0962,0.97772,0.98602,0.99025,0.98143,0.95997,0.98343
13,0.10146,0.09479,0.09748,0.09449,0.12879,0.09634,0.97772,0.98602,0.99025,0.98143,0.95997,0.98343
14,0.10148,0.0948,0.09749,0.0945,0.1288,0.09634,0.97772,0.98602,0.99025,0.98143,0.95997,0.98343
15,0.10148,0.1335,0.13664,0.09454,0.12884,0.09635,0.97772,0.9767,0.97856,0.98143,0.95997,0.98343
16,0.1015,0.13351,0.13665,0.09455,0.12893,0.09635,0.97772,0.9767,0.97856,0.98143,0.95997,0.98343
17,0.1015,0.13352,0.13666,0.09456,0.12904,0.09635,0.97772,0.9767,0.97856,0.98143,0.95997,0.98343
18,0.10151,0.13353,0.13669,0.13077,0.12905,0.09635,0.97772,0.9767,0.97856,0.96751,0.95997,0.98343
19,0.14014,0.13355,0.1367,0.13078,0.12908,0.09636,0.9672,0.9767,0.97856,0.96751,0.95997,0.98343
20,0.14015,0.13361,0.1368,0.13079,0.12909,0.0964,0.9672,0.9767,0.97856,0.96751,0.95997,0.98343
21,0.14017,0.13362,0.13682,0.13082,0.12921,0.0964,0.9672,0.9767,0.97856,0.96751,0.95997,0.98343
22,0.14018,0.13363,0.13698,0.13083,0.12922,0.0964,0.9672,0.9767,0.97791,0.96751,0.95997,0.98343
23,0.14019,0.1337,0.13699,0.13095,0.12926,0.09642,0.9672,0.9767,0.97791,0.96751,0.95997,0.98343
24,0.14029,0.13372,0.13701,0.13098,0.12927,0.09642,0.9672,0.9767,0.97791,0.96751,0.95997,0.98343
25,0.14034,0.13376,0.13702,0.131,0.1613,0.09643,0.9672,0.9767,0.97791,0.96751,0.9453,0.98343
26,0.14036,0.13378,0.13703,0.13124,0.16132,0.09644,0.9672,0.9767,0.97791,0.96751,0.9453,0.98343
27,0.14049,0.13379,0.13687,0.13125,0.16133,0.09644,0.9672,0.9767,0.97661,0.96751,0.9453,0.98343
28,0.14051,0.13383,0.13689,0.13126,0.16141,0.09644,0.9672,0.9767,0.97661,0.96751,0.9453,0.98343
29,0.14062,0.13384,0.1369,0.13137,0.16143,0.09644,0.9672,0.9767,0.97661,0.96751,0.9453,0.98343
30,0.14063,0.16719,0.13691,0.13143,0.16152,0.13396,0.9672,0.96471,0.97661,0.96751,0.9453,0.96999
31,0.14065,0.16721,0.17064,0.13144,0.16154,0.13396,0.9672,0.96471,0.95906,0.96751,0.9453,0.96999
32,0.14066,0.16722,0.17066,0.13145,0.16165,0.13396,0.9672,0.96471,0.95906,0.96751,0.9453,0.96999
33,0.14067,0.16728,0.17068,0.13148,0.16176,0.13397,0.9672,0.96471,0.95906,0.96751,0.9453,0.96999
34,0.17589,0.1673,0.17073,0.16379,0.16178,0.13397,0.95359,0.96471,0.95906,0.95159,0.9453,0.96999
35,0.17591,0.16736,0.17075,0.1637,0.16179,0.13397,0.95359,0.96471,0.95906,0.95093,0.9453,0.96999
36,0.17597,0.16738,0.17085,0.16372,0.16181,0.13398,0.95359,0.96471,0.95906,0.95093,0.9453,0.96999
37,0.17599,0.16757,0.17091,0.16375,0.19195,0.13399,0.95359,0.96471,0.95906,0.95093,0.92862,0.96999
