,kf_1,kf_2,kf_3,kf_4,kf_5,mean_fpr,mean_tpr,std_tpr,tprs_upper,tprs_lower
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.70072,0.72864,0.70579,0.71826,0.69738,0.0101,0.71016,0.01165,0.72181,0.69851
2,0.77266,0.79111,0.76571,0.78117,0.75953,0.0202,0.77403,0.01117,0.7852,0.76286
3,0.81048,0.82757,0.81481,0.81293,0.79193,0.0303,0.81155,0.01145,0.82299,0.8001
4,0.8397,0.86021,0.84909,0.83441,0.81978,0.0404,0.84064,0.01363,0.85427,0.82701
5,0.86047,0.87973,0.87169,0.85598,0.83448,0.05051,0.86047,0.01544,0.87591,0.84503
6,0.87931,0.89574,0.88928,0.86959,0.85318,0.06061,0.87742,0.01503,0.89245,0.86239
7,0.89289,0.90838,0.90289,0.88305,0.87349,0.07071,0.89214,0.01273,0.90487,0.87941
8,0.90113,0.91833,0.9156,0.89606,0.88899,0.08081,0.90402,0.01129,0.91531,0.89274
9,0.90997,0.92831,0.9271,0.91,0.90002,0.09091,0.91508,0.01094,0.92602,0.90414
10,0.92033,0.93472,0.93668,0.92153,0.90477,0.10101,0.92361,0.01153,0.93513,0.91208
11,0.92583,0.94058,0.94227,0.92993,0.91123,0.11111,0.92997,0.01124,0.94121,0.91872
12,0.93103,0.94674,0.94679,0.93814,0.91921,0.12121,0.93638,0.01041,0.9468,0.92597
13,0.93714,0.95126,0.95162,0.94376,0.92676,0.13131,0.94211,0.00935,0.95146,0.93276
14,0.94357,0.95432,0.956,0.94799,0.93447,0.14141,0.94727,0.0078,0.95507,0.93947
15,0.94999,0.95738,0.96038,0.95222,0.94217,0.15152,0.95243,0.00631,0.95874,0.94612
16,0.95492,0.96035,0.96536,0.95588,0.95006,0.16162,0.95732,0.00519,0.9625,0.95213
17,0.95773,0.96388,0.96761,0.95872,0.95359,0.17172,0.96031,0.00491,0.96521,0.9554
18,0.96054,0.96741,0.96985,0.96156,0.95712,0.18182,0.9633,0.00466,0.96796,0.95863
19,0.96335,0.97095,0.9721,0.9644,0.96065,0.19192,0.96629,0.00446,0.97075,0.96183
20,0.96616,0.97448,0.97435,0.96724,0.96418,0.20202,0.96928,0.0043,0.97358,0.96498
21,0.96822,0.97807,0.97616,0.97029,0.96742,0.21212,0.97203,0.0043,0.97633,0.96773
22,0.97011,0.97902,0.97715,0.97193,0.96933,0.22222,0.97351,0.00388,0.97738,0.96963
23,0.972,0.97996,0.97815,0.97356,0.97123,0.23232,0.97498,0.00346,0.97844,0.97152
24,0.97389,0.9809,0.97914,0.9752,0.97313,0.24242,0.97645,0.00304,0.97949,0.97341
25,0.97578,0.98184,0.98013,0.97683,0.97504,0.25253,0.97793,0.00262,0.98055,0.97531
26,0.97768,0.98278,0.98112,0.97847,0.97694,0.26263,0.9794,0.0022,0.9816,0.97719
27,0.97957,0.98373,0.98212,0.9801,0.97885,0.27273,0.98087,0.00179,0.98267,0.97908
28,0.98146,0.98467,0.98311,0.98174,0.98075,0.28283,0.98235,0.00139,0.98374,0.98095
29,0.98335,0.98561,0.9841,0.98338,0.98265,0.29293,0.98382,0.00101,0.98482,0.98281
30,0.98515,0.98655,0.9851,0.98501,0.98456,0.30303,0.98527,0.00067,0.98594,0.9846
31,0.98534,0.98735,0.98576,0.98744,0.98669,0.31313,0.98652,0.00084,0.98736,0.98568
32,0.98556,0.98754,0.98597,0.98762,0.98688,0.32323,0.98671,0.00083,0.98754,0.98589
33,0.98578,0.98772,0.98618,0.98781,0.98708,0.33333,0.98691,0.00081,0.98773,0.9861
34,0.98599,0.98791,0.98639,0.98799,0.98727,0.34343,0.98711,0.0008,0.98791,0.98631
35,0.98621,0.9881,0.9866,0.98818,0.98747,0.35354,0.98731,0.00079,0.9881,0.98652
36,0.98642,0.98828,0.98681,0.98836,0.98766,0.36364,0.98751,0.00078,0.98828,0.98673
37,0.98664,0.98847,0.98702,0.98855,0.98786,0.37374,0.98771,0.00077,0.98847,0.98694
38,0.98685,0.98865,0.98723,0.98873,0.98806,0.38384,0.9879,0.00075,0.98866,0.98715
39,0.98707,0.98884,0.98743,0.98892,0.98825,0.39394,0.9881,0.00074,0.98884,0.98736
40,0.98728,0.98903,0.98764,0.9891,0.98845,0.40404,0.9883,0.00073,0.98903,0.98757
41,0.9875,0.98921,0.98785,0.98929,0.98864,0.41414,0.9885,0.00072,0.98921,0.98778
42,0.98772,0.9894,0.98806,0.98947,0.98884,0.42424,0.9887,0.0007,0.9894,0.98799
43,0.98793,0.98958,0.98827,0.98965,0.98904,0.43434,0.9889,0.00069,0.98959,0.9882
