# List of genes to remove from genome.gtf for blind testing the pipeline
# 26 lncRNAs, 30 PCGs up and 30 PCGs down
# filters: |log2FC| >= 1.5, padj <= 0.05
FBgn0262887	CR43242
FBgn0263452	CR43475
FBgn0262149	CR42875
FBgn0263088	CR43356
FBgn0263415	CR43461
FBgn0262108	CR42861
FBgn0263659	CR43650
FBgn0050055	CR30055
FBgn0263450	CR43473
FBgn0262109	CR42862
FBgn0263413	CR43459
FBgn0263457	CR43480
FBgn0047205	CR32385
FBgn0263414	CR43460
FBgn0263039	CR43334
FBgn0052218	CR32218
FBgn0263709	CR43661
FBgn0261709	CR42746
FBgn0053963	CR33963
FBgn0263586	CR43611
FBgn0263290	CR43399
FBgn0260722	CR42549
FBgn0058469	CR40469
FBgn0262972	CR43283
FBgn0035512	Cpr64Ac
FBgn0262735	Imp
FBgn0262811	CG43182
FBgn0001257	ImpL2
FBgn0030482	CG1673
FBgn0035626	lin-28
FBgn0025885	Inos
FBgn0039972	CG17018
FBgn0033978	Cyp6a23
FBgn0050011	gem
FBgn0085403	Rapgap1
FBgn0064227	Rdh
FBgn0040251	Ugt86Di
FBgn0038975	Nrx-1
FBgn0085452	CG34423
FBgn0051092	LpR2
FBgn0036732	Oatp74D
FBgn0033374	CG13741
FBgn0040259	Ugt86Da
FBgn0262656	dm
FBgn0083945	CG34109
FBgn0035513	Cpr64Ad
FBgn0040752	Prosap
FBgn0263773	fok
FBgn0066101	LpR1
FBgn0039378	alpha4GT2
FBgn0031888	Pvf2
FBgn0039431	CG6490
FBgn0013984	InR
FBgn0000276	CecA1
FBgn0029725	CG2871
FBgn0027360	Tim10
FBgn0037099	CG7173
FBgn0036072	CG6628
FBgn0031004	CG7992
FBgn0050395	CG30395
FBgn0035976	PGRP-LC
FBgn0038219	CG14839
FBgn0050110	CG30110
FBgn0052185	edin
FBgn0259710	CG42364
FBgn0035007	CG3492
FBgn0031476	CG8813
FBgn0036860	CG14086
FBgn0033287	CG8701
FBgn0085323	CG34294
FBgn0030483	CG12725
FBgn0069056	CG33226
FBgn0033221	CG12825
FBgn0034539	CG11159
FBgn0039472	CG17192
FBgn0000279	CecC
FBgn0029091	CS-2
FBgn0037513	pyd3
FBgn0039473	CG17191
FBgn0032836	CG10680
FBgn0038218	CG14841
FBgn0039682	Obp99c
FBgn0038431	CG10405
