name,start,end,length,mfe,bestTSS,bestTSS_inside,mean_gc,mean_remap,cov_me3,cov_tfbs,cov_pol2,mean_pcons27,mean_pPcons27,mean_pPcons124
FBtr0475186.1,7528,8116,588,-229.47,367.0,10.0,51.9048,404.173,1.0,0.87585,1.0,0.142541,0.085966,0.569934
FBtr0475186,7528,9484,1956,-685.73,367.0,10.0,45.8384,256.633,1.0,0.91002,1.0,0.649282,0.487537,3.08147
FBtr0475186.2,8192,9484,1292,-435.25,10.0,9.0,44.0402,181.374,1.0,0.925697,1.0,0.918097,0.698974,4.40558
FBti0060580-RA.1.,9725,9859,134,-24.69,1.0,4.0,30.597,2.31343,1.0,0.992537,1.0,0.577045,0.395425,0.504694
FBti0060580-RA.FlyBase.,9725,9859,134,-24.69,1.0,4.0,30.597,2.31343,1.0,0.992537,1.0,0.577045,0.395425,0.504694
FBtr0078166.9,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0078167.9,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0078168.9,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0078169.10,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0078170.9,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0078171.10,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0306589.10,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0306590.9,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0306591.10,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0306592.11,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0330655.9,9838,11344,1506,-380.85,74.0,307.0,29.429,12.6265,1.0,0.986056,0.7197875166002656,0.359392,0.489064,0.769878
FBtr0078170,9838,18570,8732,-2725.60,30.0,752.0,35.8841,125.604,1.0,0.952016,0.8355474118185983,0.53327,1.07923,3.47629
FBtr0078171,9838,18570,8732,-2725.60,30.0,752.0,35.8841,125.604,1.0,0.952016,0.8355474118185983,0.53327,1.07923,3.47629
