name,start,end,length,bestTSS,bestTSS_inside,mean_gc,mean_remap,cov_me3,cov_tfbs,cov_pol2,mean_pcons27,mean_pPcons27,mean_pPcons124
FBtr0309810.1,21951,22941,990,77.0,58.0,46.7475,490.322,1.0,0.942424,0.7434343434343434,0.789939,1.54466,5.06269
FBtr0309810,21951,24237,2286,77.0,58.0,45.1619,337.694,1.0,0.951006,0.6150481189851269,0.829356,1.7182,6.30211
FBtr0309810.2,22997,24237,1240,3.0,28.0,44.3226,229.102,1.0,0.949194,0.5403225806451613,0.888432,1.91445,7.49766
FBtr0347585,54816,55767,951,214.0,214.0,40.1893,232.264,1.0,0.963197,0.7655099894847529,0.436751,0.681945,0.582797
FBtr0347585.1,54816,55767,951,214.0,214.0,40.1893,232.264,1.0,0.963197,0.7655099894847529,0.436751,0.681945,0.582797
FBtr0345732,65998,66242,244,3.0,6.0,26.9672,140.885,0.3401639344262295,0.991803,1.0,0.211381,0.39618,0.0735164
FBtr0345732.1,65998,66242,244,3.0,6.0,26.9672,140.885,0.3401639344262295,0.991803,1.0,0.211381,0.39618,0.0735164
FBtr0345733,66317,66524,207,21.0,9017.0,36.3285,362.14,1.0,0.966184,1.0,0.407377,0.690961,0.561546
FBtr0345733.1,66317,66524,207,21.0,9017.0,36.3285,362.14,1.0,0.966184,1.0,0.407377,0.690961,0.561546
FBtr0344053.2,71038,73642,2604,70.0,28874.0,37.9339,310.358,1.0,0.981567,1.0,0.384323,0.712149,0.660117
FBtr0344052,71038,73836,2798,1413.0,28874.0,38.2702,313.122,1.0,0.980343,1.0,0.392769,0.715944,0.664009
FBtr0344052.1,71038,73836,2798,1413.0,28874.0,38.2702,313.122,1.0,0.980343,1.0,0.392769,0.715944,0.664009
FBtr0344053,71038,73836,2798,1413.0,28874.0,38.2702,313.122,1.0,0.980343,1.0,0.392769,0.715944,0.664009
FBtr0344053.1,73754,73836,82,1413.0,22.0,41.7073,233.159,1.0,0.95122,1.0,0.483122,0.756939,0.592878
FBtr0344032.1,122836,123072,236,211.0,232.0,30.5932,11.5169,1.0,0.95339,1.0,0.858144,1.5305,1.29454
FBtr0344032,122836,124031,1195,211.0,293.0,39.749,17.2753,1.0,0.957322,1.0,0.874201,2.81568,7.64258
FBtr0344032.2,123139,123258,119,15.0,81.0,51.4286,18.7311,1.0,0.941176,1.0,0.990933,3.20418,9.33843
FBtr0344032.3,123324,124031,707,51.0,293.0,41.5559,12.0495,1.0,0.957567,1.0,0.86012,3.25162,9.76483
FBtr0336836,135401,136128,727,7.0,7.0,38.2669,75.8858,1.0,0.9326,1.0,0.579831,0.879217,0.834612
FBtr0336836.1,135401,136128,727,7.0,7.0,38.2669,75.8858,1.0,0.9326,1.0,0.579831,0.879217,0.834612
FBtr0336837.1,136143,136216,73,16.0,4.0,43.5616,115.493,1.0,0.972603,1.0,0.506055,0.674521,0.686534
FBtr0336837,136143,136701,558,16.0,28.0,41.7204,133.412,1.0,0.962366,0.6146953405017921,0.591613,0.795686,0.785059
FBtr0336837.2,136272,136701,429,28.0,28.0,41.7249,127.382,1.0,0.962704,0.4988344988344988,0.67503,0.896319,0.885473
FBtr0336984,219650,220050,400,69.0,36.0,43.75,54.27,0.3625,0.915,1.0,0.681247,1.4048,1.67918
FBtr0336984.1,219650,220050,400,69.0,36.0,43.75,54.27,0.3625,0.915,1.0,0.681247,1.4048,1.67918
FBtr0336985,223518,224708,1190,46.0,472.0,46.8571,404.558,1.0,0.954622,1.0,0.74742,1.56766,1.76347
FBtr0336985.1,223518,224708,1190,46.0,472.0,46.8571,404.558,1.0,0.954622,1.0,0.74742,1.56766,1.76347
FBtr0336986,228036,228588,552,63.0,328.0,43.3333,14.6594,1.0,0.949275,1.0,0.660312,1.37937,2.40092
FBtr0336986.1,228036,228588,552,63.0,328.0,43.3333,14.6594,1.0,0.949275,1.0,0.660312,1.37937,2.40092
FBtr0336987,248908,249812,904,94.0,268.0,42.4336,492.282,1.0,0.949115,1.0,0.67321,1.20428,1.35588
FBtr0336987.1,248908,249812,904,94.0,268.0,42.4336,492.282,1.0,0.949115,1.0,0.67321,1.20428,1.35588
FBtr0336988.1,262202,262597,395,51.0,51.0,42.3797,7.28,1.0,0.903797,1.0,0.38477,0.517066,0.461061
FBtr0336988,262202,263003,801,51.0,51.0,42.7466,7.32011,1.0,0.931336,1.0,0.569949,0.949598,0.958421
FBtr0336988.2,262644,263003,359,1.0,12.0,43.3426,5.32312,1.0,0.966574,1.0,0.77454,1.4715,1.51235
FBtr0347594,283806,284255,449,85.0,180.0,50.0668,33.9065,1.0,0.917595,1.0,0.882644,2.37258,6.84383
FBtr0347594.1,283806,284255,449,85.0,180.0,50.0668,33.9065,1.0,0.917595,1.0,0.882644,2.37258,6.84383
FBtr0347595.1,286382,286662,280,296.0,185659.0,46.7857,537.639,1.0,0.907143,1.0,0.602293,1.11895,1.29608
FBtr0347595,286382,288292,1910,296.0,185659.0,48.3246,221.894,1.0,0.919372,0.8638743455497382,0.588351,1.14086,1.8446
FBtr0347595.2,286752,288292,1540,102.0,117.0,48.9221,124.305,1.0,0.922078,0.8311688311688312,0.563064,1.12213,1.9711
FBtr0329830.2,308536,308842,306,1.0,4.0,45.9477,25.3922,1.0,0.888889,1.0,0.806889,1.56625,1.52181
FBtr0329830,308536,309348,812,23.0,15.0,45.4926,39.069,1.0,0.917488,1.0,0.644914,1.09728,1.03883
FBtr0344144,308536,309348,812,23.0,15.0,45.4926,39.069,1.0,0.917488,1.0,0.644914,1.09728,1.03883
FBtr0344144.1,308536,309348,812,23.0,15.0,45.4926,39.069,1.0,0.917488,1.0,0.644914,1.09728,1.03883
FBtr0329830.1,308996,309348,352,23.0,15.0,41.1932,52.6193,1.0,0.920455,1.0,0.44258,0.651247,0.553489
FBtr0345774,355662,356891,1229,67.0,86.0,43.7754,194.656,1.0,0.938161,1.0,0.780134,1.84774,5.30246
FBtr0345774.1,355662,356891,1229,67.0,86.0,43.7754,194.656,1.0,0.938161,1.0,0.780134,1.84774,5.30246
FBtr0345775,357328,358174,846,422.0,10233.0,44.5154,232.35,1.0,0.934988,1.0,0.530554,1.02829,1.74856
FBtr0345775.1,357328,358174,846,422.0,10233.0,44.5154,232.35,1.0,0.934988,1.0,0.530554,1.02829,1.74856
FBtr0329831,396119,396571,452,66.0,69.0,50.0,60.7257,1.0,0.946903,1.0,0.601177,1.14403,1.19877
FBtr0329831.1,396119,396571,452,66.0,69.0,50.0,60.7257,1.0,0.946903,1.0,0.601177,1.14403,1.19877
FBtr0329833,439538,440104,566,4.0,67.0,44.9117,149.984,1.0,0.899293,1.0,0.617345,1.22904,1.17002
